netuid,name,alpha_price,change_1h,change_1d,change_7d,liquidity_tao,flow_24h,flow_7d,emission,drawdown,score
96,Verathos,0.020391642,-0.9170677040042705,0.8198331004956831,33.171098412439676,242.095790165,279.338455069,0.0,0.0,28.749831527484982,0.0
82,Compelle,0.021578851,-0.2412736400434912,50.64269844898871,207.57146428631498,327.593662731,1293.173073228,0.0,0.0,20.331367930910403,0.0
78,Vocence,0.01121292,-0.606444184132463,7.686920685275166,55.48137101353417,658.691991675,1100.70618154,0.0,0.0,23.35639964709776,0.0
36,Unknown,0.008830701,-0.31489188580221966,-0.2909511680106372,22.926815212092478,1181.884898245,503.016691537,0.0,0.0,6.213361977178562,0.0
70,NexisGen,0.007943326,-0.13596691333482774,0.2845423965393342,5.240351652369997,1749.859468614,247.788160476,0.0,0.0,9.385161563222523,0.0
67,Harnyx,0.011448994,-0.7890863605069474,3.8221892863859828,24.025397000098256,2075.621348327,1166.071376942,0.0,0.0,11.235389708907924,0.0
57,Unknown,0.010741214,-0.15726706483364725,-2.6936410958936374,22.94239552164835,2362.483723309,191.52621332,0.0,0.0,15.600107137423972,0.0
76,Byzantium,0.006992884,-0.14433830568419898,-0.23246663160787184,2.4731265519411676,2277.591878697,491.210958684,0.0,0.0,12.152366649936958,0.0
126,Poker44,0.007422318,0.16858695467342957,1.915271421886431,8.53106528429768,2430.297934814,183.36834126,0.0,0.0,5.351290880660075,0.0
87,Luminar Network,0.004804109,-0.6904379919499891,1.3297434226276164,17.111121403741425,2399.433568993,279.460858811,0.0,0.0,15.06767320867001,0.0
109,Academia,0.005304568,3.370040318573241,4.349516136837455,-9.748147049170594,2454.707350612,663.15922821,0.0,0.0,23.436979116535813,0.0
47,EvolAI,0.00621048,-1.1090377283651338,1.8243346269434895,28.90753187308924,2385.493498163,768.04052136,0.0,0.0,5.634651552092306,0.0
31,Halftime,0.005046376,-0.06006643549769884,-0.2361258283382625,1.1589108927761362,2736.885318541,124.352336538,0.0,0.0,5.193954658056737,0.0
94,Bitsota,0.004402443,0.18364394647427518,-4.177000920043296,-0.29417280121175005,3708.064069314,360.855150747,0.0,0.0,14.065796361058002,0.0
92,TensorClaw,0.00446438,0.24722850335813104,-7.343983163941945,2.8037899683647343,3431.177068864,816.045653289,0.0,0.0,18.79852644748731,0.0
90,Unknown,0.004506409,-0.035359337604699906,0.8893396333074752,0.8336932078806932,3866.859143489,242.648595642,0.0,0.0,5.3257154267918345,0.0
84,Unknown,0.011908746,0.15924557932455113,-5.254904668918936,255.61849793146203,3328.12485897,443.701346899,0.0,0.0,7.2371751221305525,0.0
80,dogelayer,0.003955703,-1.6018510986918482,1.7682663441533266,6.243738642266374,2267.447315494,202.69732459,0.0,0.0,9.484562297978123,0.0
108,TalkHead,0.004640077,0.17796406347895888,3.2315384914874326,9.694362063401817,3973.963095716,254.599870056,0.0,0.0,10.77966522909478,0.0
99,Leoma,0.006729374,-1.9111754408212824,-12.70445985497474,-14.911884514191438,2515.261761472,3361.476310109,0.0,0.0,19.899046745694264,0.0
26,Unknown,0.0109773,-0.3973652706346575,223.68697609081033,233.3363699304012,3946.602040603,3920.825079168,0.0,0.0,2.4331540495760384,0.0
86,⚒,0.004751424,0.16620498614958448,-3.713478828988026,9.72132899906176,4411.29355209,337.015011886,0.0,0.0,9.545690750686596,0.0
49,Nepher Robotics,0.005085449,-0.2560163750058351,-1.0744679112740638,-0.9766713068192329,3896.500081765,135.849092299,0.0,0.0,7.072144753648725,0.0
91,Bitstarter #1,0.017169695,-0.17108433454734892,13.010459939021974,23.807145277394586,3915.34643198,1636.298841829,0.0,0.0,19.779103122434368,0.0
113,TensorUSD,0.006725802,1.164585155833545,11.658069882146302,26.86920184925888,4738.15770427,1126.434961922,0.0,0.0,13.595633171548283,0.0
117,Unknown,0.003786293,0.15143227155284603,0.958148273271972,1.5562165109690198,6014.593584875,913.633201533,0.0,0.0,12.920463669507606,0.0
114,SOMA,0.01046534,1.154212779020457,-7.497162248330186,6.711055936087609,4276.672939984,1671.993159993,0.0,0.0,14.157522648304411,0.0
101,Unknown,0.004178609,-0.017275492178054335,-1.094851551469692,-2.478910462175127,6554.531657565,376.187673168,0.0,0.0,12.986965083161191,0.0
38,colosseum,0.010592918,-2.1441524881748517,1.0522855422184416,1.4235988967692605,4199.957223339,1119.87827204,0.0,0.0,10.207104208708332,0.0
102,ConnitoAI,0.0326656,0.29277029671622967,-3.3813338709450336,198.11960395403466,2939.130854635,3361.308410824,0.0,0.0,18.28979198653319,0.0
119,Satori,0.006715821,-1.6481981194329653,-3.95317034493687,5.851492827960418,10404.414434641,252.873806627,0.0,0.0,9.702412820168842,0.0
116,TaoLend,0.003837949,-5.300620242298417,-9.240988714092309,5.062560686206154,7164.317843487,650.09415029,0.0,0.0,11.288349287234725,0.0
112,minotaur,0.005472431,0.6957617452115779,-0.23850089526706159,-0.43316893606700874,9939.391429791,129.921192593,0.0,0.0,4.425926219028579,0.0
110,Green Compute,0.00585403,-0.7232210146869186,-2.5368752190370114,-2.5522231013303536,7662.313806348,1193.535833989,0.0,0.0,11.96334291104349,0.0
128,ByteLeap,0.003414593,-1.1672053671880585,-0.4653471724854011,0.9939103617314342,8139.501299808,100.374123821,0.0,0.0,3.70072188936433,0.0
127,Astrid,0.004557037,-0.012638194598795467,-1.278665944839117,-1.7999109159815307,8303.45664707,232.065007211,0.0,0.0,10.7830193485999,0.0
115,HashiChain,0.007161531,0.5796842136013087,-3.0623186867806353,-2.534566633527338,11768.892853799,277.333391243,0.0,0.0,4.0445263963745095,0.0
122,Bitrecs,0.004267816,3.3354228908483434,6.662414648270023,16.371993059916438,8714.457341534,1143.537686842,0.0,0.0,13.418225098694034,0.0
98,ForeverMoney,0.004068771,-0.007962458482783027,-1.5281779824071846,-0.4113982375570268,12467.591741816,76.837162515,0.0,0.0,2.0990874819976972,0.0
100,Plaτform,0.011011563,0.38150496735876316,-0.3432105348610786,-12.698724916338243,6095.946791687,1697.69977347,0.0,0.0,17.57033211759542,0.0
111,oneoneone,0.00379097,-0.010444784280916166,1.0096246334342105,-0.170351650151589,9504.267948437,98.022764023,0.0,0.0,2.627222502572298,0.0
104,for sale (burn to uid1),0.003545679,0.031033304660440634,-0.17483654472310367,-2.126822659609002,10134.69873756,13.805035735,0.0,0.0,2.5880387166986374,0.0
106,VoidAI,0.004048875,-0.006470514581255216,-0.9610668845313239,-4.378734250875532,15113.498281103,131.121896013,0.0,0.0,4.44483753211583,0.0
89,InfiniteHash,0.003747466,-0.007177668645195031,0.01841583270523778,-2.3337939345543175,13291.657098766,20.931654928,0.0,0.0,3.3585266059738608,0.0
69,Unknown,0.003458679,-0.007430030506491013,1.6433424631769504,4.16063850163408,13138.673398806,907.809020676,0.0,0.0,10.755588659941175,0.0
125,8 Ball,0.005490928,-0.007266003281174113,-0.48821401458208397,-6.84898786221816,15293.000997412,134.406767213,0.0,0.0,7.0270332532458495,0.0
40,Chunking,0.003634202,3.615536448602394,6.248149019802748,5.100837983656774,14581.018488692,1792.234448837,0.0,0.0,3.482232253708881,0.0
123,MANTIS,0.004507478,-0.007098809662722243,-3.860958485860827,-3.1393532277369847,14973.637019322,756.661357162,0.0,0.0,11.170444815405567,0.0
118,Ditto,0.007889891,2.8756555153913363,19.120078472379387,27.879305552291445,8279.104267604,4260.96754192,0.0,0.0,28.36326119122535,0.0
103,Djinn,0.005411139,0.40332860677307053,-4.136277826516454,-3.268324023305103,10041.262012767,1741.076664083,0.0,0.0,7.998372124544763,0.0
72,StreetVision by NATIX,0.00349654,0.10957098393140233,1.4124785372871131,2.4058734873596896,15860.453923466,397.072602822,0.0,0.0,2.8106305247724737,0.0
73,gn,0.004314463,-0.3854627330612275,-0.4860070293532469,8.511695696843715,16149.343988196,2293.531876547,0.0,0.0,1.9642432725064118,0.0
