netuid,name,alpha_price,change_1h,change_1d,change_7d,liquidity_tao,flow_24h,flow_7d,emission,drawdown,score,ml_prob_up,ml_return_pred
96,Verathos,0.017859912,-0.5576925796630905,-14.01221648807022,15.69662407766145,261.213469411,240.018580905,0.0,0.0,27.61248280737103,0.0,,
82,Compelle,0.020285381,0.6323472077689789,2.0099325686025913,181.94389331560208,350.901333433,1198.714463037,0.0,0.0,21.6338708561146,0.0,,
78,Vocence,0.010509941,1.6606766170232194,-0.699294422481428,37.57598137647964,674.919050912,1188.20656536,0.0,0.0,21.53922547349875,0.0,,
36,Unknown,0.009013719,-0.21569314893067276,1.936664755435981,24.595408238233183,1237.093947762,256.209280228,0.0,0.0,6.213223242921416,0.0,,
70,NexisGen,0.007964514,0.4207590255275942,-1.4203880523378904,4.051175660598713,1790.398056068,166.764277653,0.0,0.0,9.385337167065822,0.0,,
57,Unknown,0.010472865,-0.14474574196184875,-4.6385611009002226,4.695785992776868,2367.206357921,157.855066782,0.0,0.0,15.589196757985155,0.0,,
76,Byzantium,0.006939736,0.9779813064312325,-3.486777115927777,-1.4676903247387836,2302.126179565,442.806991123,0.0,0.0,13.490119119507233,0.0,,
67,Harnyx,0.012706028,0.8928593406881361,16.33957640071635,35.78403781255454,2244.616465125,2463.702032364,0.0,0.0,11.235725980377904,0.0,,
126,Poker44,0.00754103,2.0033204714885553,0.17645385797370713,9.388993604954267,2485.517346258,154.856118601,0.0,0.0,5.350703705138101,0.0,,
109,Academia,0.005158365,3.098842368667205,-2.8460075039462485,-12.90022242810851,2445.357929878,480.694823684,0.0,0.0,23.58142098002583,0.0,,
87,Luminar Network,0.005017827,2.2287158098553674,5.055724582882152,17.398671135987115,2475.800882163,173.33703719,0.0,0.0,13.608201871482544,0.0,,
31,Halftime,0.005233919,2.8578172069995493,1.1675425378021447,3.0944979895867823,2812.023678731,124.344200656,0.0,0.0,5.193208783995381,0.0,,
47,EvolAI,0.006858714,4.582709938074207,6.394764147921415,40.360519947004995,2538.738444408,420.294188554,0.0,0.0,5.634418898065644,0.0,,
94,Bitsota,0.004437759,2.2102850135877046,-0.500194167443187,-1.4570624349377002,3744.068332165,203.777264964,0.0,0.0,14.720775791173397,0.0,,
84,Unknown,0.011569353,-0.0211807942823781,-4.145535595851664,259.70150877882435,3322.527528272,160.749772397,0.0,0.0,9.737539221895645,0.0,,
92,TensorClaw,0.004635283,3.5551542185034504,3.979140837035939,2.0104403016771824,3517.797801101,454.989468186,0.0,0.0,18.794391246670344,0.0,,
99,Leoma,0.00664436,0.14926617204693618,-6.359460409419807,-19.14883571626916,2531.33982944,1534.223613105,0.0,0.0,21.028795126929083,0.0,,
90,Unknown,0.004721104,2.001572012474122,5.25822477587136,6.25997220330972,3980.259072359,180.842235684,0.0,0.0,5.325895303929601,0.0,,
108,TalkHead,0.004753419,3.0663269731136165,0.2161002485890762,8.267756977734978,4044.785772719,153.287630648,0.0,0.0,10.778963841584284,0.0,,
80,dogelayer,0.004260934,2.2359328039664605,8.840565642529452,11.72656799824633,2373.343382193,173.240109477,0.0,0.0,9.484175642126699,0.0,,
86,⚒,0.004783348,0.944712996419604,-0.7153042564982844,8.327743336958338,4448.931356045,131.083662368,0.0,0.0,9.542860845003965,0.0,,
49,Nepher Robotics,0.005095253,-0.026331305508874064,-0.7372740594471409,-1.1118589620424248,3913.917952932,232.410079041,0.0,0.0,7.071952974859458,0.0,,
113,TensorUSD,0.006475073,2.42451516973014,2.5124367161053374,19.950164278928874,4679.8968996,2218.720486089,0.0,0.0,13.567120933805871,0.0,,
117,Unknown,0.003745207,-0.011026211948889636,-0.7558304383196466,-9.509899359790742,5994.950374225,821.478959567,0.0,0.0,12.455059458321779,0.0,,
114,SOMA,0.009874478,-1.628186892216849,-6.545740399397773,-0.7586061409901287,4202.293081239,1517.859541099,0.0,0.0,17.562282587724415,0.0,,
26,Unknown,0.014024497,1.0253886447424465,311.3193574565269,325.65845882741075,4519.069038259,5270.838326282,0.0,0.0,2.503680180680148,0.0,,
101,Unknown,0.003935751,-0.24400703810889604,-10.428502470540925,-15.13560403079634,6374.170937816,520.565612613,0.0,0.0,17.980188544966932,0.0,,
91,Bitstarter #1,0.019293855,-0.16552446558090814,5.894342733068235,40.441635267114805,4242.667183497,2006.400041077,0.0,0.0,19.756099222284508,0.0,,
38,colosseum,0.010997546,-0.04620713411248038,-1.677391437676601,3.642440494786329,4332.035947986,394.434457587,0.0,0.0,10.207221483442957,0.0,,
102,ConnitoAI,0.031719062,-0.22136601178133627,-0.9249516487284613,154.07372649388074,3015.424934044,1582.903246425,0.0,0.0,18.705960528628836,0.0,,
116,TaoLend,0.003768658,0.7010971510413049,-9.440370479927891,-0.025891107730883156,7110.90532878,571.331242348,0.0,0.0,13.643115097856477,0.0,,
119,Satori,0.007074919,0.18202893658284602,2.564905845063317,9.413893604866415,10694.317807178,406.293962599,0.0,0.0,9.67071600390246,0.0,,
112,minotaur,0.005488307,0.01570858568969712,0.30380043876802826,-0.7300132201849017,9953.821068295,187.548167692,0.0,0.0,4.241390177366791,0.0,,
127,Astrid,0.004599191,-0.95948379616719,0.31994604455032727,-0.9522318418351008,8341.741417455,211.556170731,0.0,0.0,9.941970240111422,0.0,,
115,HashiChain,0.007175249,-0.008988427086576252,0.7644915726593502,-3.189834840168928,11780.168780504,96.318294191,0.0,0.0,4.015027118810949,0.0,,
98,ForeverMoney,0.004015299,0.004034731567067325,-1.274290494073702,-2.0123194165396256,12385.380377877,63.332389877,0.0,0.0,3.3505523152951286,0.0,,
122,Bitrecs,0.004263237,-0.03711762747314072,2.6218509564869508,20.899849840695016,8711.082662759,1244.633503667,0.0,0.0,13.723192350384378,0.0,,
100,Plaτform,0.010591281,-5.406359603487127,-5.864099487923531,-16.574795827921,6013.596082109,1279.411504577,0.0,0.0,18.22852525031669,0.0,,
110,Green Compute,0.00642546,-1.0096904960238016,7.593029073657687,13.670715708044444,8057.064383184,1219.304326132,0.0,0.0,10.99189519920521,0.0,,
128,ByteLeap,0.003771948,-0.5484150278373359,9.140971744193415,13.680723347274382,8558.781292934,1465.657733388,0.0,0.0,3.9318528502489904,0.0,,
111,oneoneone,0.003678615,-0.00391436351226052,-2.002825405849064,-2.773633382555093,9362.417697953,294.275916953,0.0,0.0,3.5667520824185526,0.0,,
104,for sale (burn to uid1),0.003542958,-0.000366923692008769,-0.046690569605200904,-1.1970827834921598,10130.893500165,6792.52703118,0.0,0.0,1.2037756938038233,0.0,,
106,VoidAI,0.004091753,-0.039527323567788014,0.9561808428770893,-1.260667544241728,15193.475417038,205.301713002,0.0,0.0,2.7912046672799633,0.0,,
89,InfiniteHash,0.003774968,0.6019646197879746,0.7102332602166396,-1.7438467701171745,13341.128758931,147.272562471,0.0,0.0,3.02397262235012,0.0,,
123,MANTIS,0.004077264,-3.476331571067785,-7.8511312422748105,-12.935343143221376,14239.041582453,1479.866061003,0.0,0.0,18.144569774877013,0.0,,
